City,Latitude,Longitude,Max temp,Humidity,Cloudiness,Wind speed,Country,Date
ulladulla,-35.35,150.4667,19.44,88,90,4.12,AU,1613256603
sept-iles,50.2001,-66.3821,-10.0,52,20,3.09,CA,1613257178
yellowknife,62.456,-114.3525,-20.56,77,20,6.17,CA,1613257179
hilo,19.7297,-155.09,24.0,73,90,1.54,US,1613256417
greenfield,42.9614,-88.0126,-13.89,72,75,7.2,US,1613257179
carnarvon,-24.8667,113.6333,24.0,100,31,4.12,AU,1613256613
bathsheba,13.2167,-59.5167,26.0,65,20,8.23,BB,1613256642
puerto ayora,-0.7393,-90.3518,30.0,66,75,6.17,EC,1613256601
saskylakh,71.9167,114.0833,-34.45,77,75,1.42,RU,1613256590
castro,-24.7911,-50.0119,18.03,89,26,1.52,BR,1613256590
ambunti,-4.2365,142.8448,26.19,89,97,0.5,PG,1613257181
canutama,-6.5339,-64.3831,23.57,98,100,0.72,BR,1613257182
noumea,-22.2763,166.4572,29.0,65,0,1.03,NC,1613256681
balatonalmadi,47.0353,18.0208,-3.33,60,0,2.68,HU,1613257183
albany,42.6001,-73.9662,-6.11,42,75,3.09,US,1613257008
ixtapa,20.7,-105.2,23.0,64,90,4.12,MX,1613256592
georgetown,5.4112,100.3354,25.56,73,20,1.03,MY,1613257141
innisfail,-17.5333,146.0333,27.4,73,100,0.8,AU,1613256642
hermanus,-34.4187,19.2345,18.89,90,0,2.78,ZA,1613257184
thompson,55.7435,-97.8558,-24.0,64,40,4.12,CA,1613256607
tuktoyaktuk,69.4541,-133.0374,-22.0,77,75,3.6,CA,1613257185
saint-augustin,51.226,-58.6502,-13.88,91,16,4.39,CA,1613256596
celestun,20.8667,-90.4,25.18,77,0,4.04,MX,1613256720
netivot,31.4222,34.5886,12.78,81,0,2.5,IL,1613257186
rawson,-43.3002,-65.1023,29.0,45,40,5.14,AR,1613256640
beringovskiy,63.05,179.3167,-16.54,93,100,8.14,RU,1613256666
nome,64.5011,-165.4064,-3.0,46,75,1.54,US,1613256642
mayor pablo lagerenza,-19.9309,-60.7718,29.06,54,77,2.03,PY,1613257187
serendah,3.3646,101.6041,26.0,89,20,1.25,MY,1613257188
bulgan,48.8125,103.5347,-20.39,79,74,1.17,MN,1613257188
airai,-8.9266,125.4092,17.71,100,100,0.41,TL,1613256617
fort nelson,58.8053,-122.7002,-18.0,65,1,2.12,CA,1613256654
petropavlovsk-kamchatskiy,53.0452,158.6483,-17.0,66,86,4.0,RU,1613256460
batemans bay,-35.7167,150.1833,19.44,70,6,1.79,AU,1613257189
concepcion,-36.827,-73.0498,21.0,56,0,6.69,CL,1613256610
chuy,-33.6971,-53.4616,21.43,92,11,3.43,UY,1613256594
buckeye,33.3703,-112.5838,22.22,35,65,1.79,US,1613257101
trat,12.5,102.5,20.87,86,73,0.6,TH,1613257191
severo-kurilsk,50.6789,156.125,-3.36,93,93,4.1,RU,1613256652
kruisfontein,-34.0033,24.7314,22.78,94,97,0.45,ZA,1613257191
woodbury,42.3833,-96.0336,-16.0,55,40,7.72,US,1613256967
dimbokro,6.6451,-4.7048,26.58,78,4,3.33,CI,1613257192
lagoa,39.05,-27.9833,13.88,65,42,13.84,PT,1613256604
karratha,-20.7377,116.8463,26.51,69,1,2.15,AU,1613256632
santa cruz,-17.8,-63.1667,30.0,58,20,3.09,BO,1613256590
cap malheureux,-19.9842,57.6142,23.89,81,1,1.79,MU,1613257193
constitucion,-35.3333,-72.4167,15.83,80,50,4.92,CL,1613256544
iwaki,37.05,140.8833,3.0,100,20,3.09,JP,1613257092
cobh,51.8572,-8.2992,9.0,100,90,10.29,IE,1613257194
hithadhoo,-0.6,73.0833,27.94,76,49,4.58,MV,1613257195
busselton,-33.65,115.3333,19.24,70,0,4.29,AU,1613257195
hasaki,35.7333,140.8333,7.0,87,75,1.03,JP,1613256602
savinka,50.0785,47.0994,-6.54,91,74,4.79,RU,1613257195
chumikan,54.7183,135.315,-13.79,93,99,2.97,RU,1613257196
harper,4.375,-7.7169,26.35,87,2,3.77,LR,1613256672
hamilton,39.1834,-84.5333,-2.78,68,90,4.63,US,1613256920
mandera,3.9366,41.867,25.46,45,5,6.36,KE,1613256647
bambous virieux,-20.3428,57.7575,25.0,94,75,2.06,MU,1613257197
port hawkesbury,45.6169,-61.3485,-5.0,80,90,5.14,CA,1613256661
esperance,-33.8667,121.9,15.0,94,46,3.6,AU,1613256598
ancud,-41.8697,-73.8203,17.78,55,90,2.57,CL,1613256643
atambua,-9.1061,124.8925,24.62,83,100,0.71,ID,1613256669
kalmar,56.6616,16.3616,-3.89,42,0,6.17,SE,1613257199
samarai,-10.6167,150.6667,28.62,70,93,2.23,PG,1613257199
fukue,32.6881,128.8419,16.34,76,43,6.85,JP,1613257200
burnie,-41.0667,145.9167,16.11,85,13,2.24,AU,1613257201
qaanaaq,77.484,-69.3632,-14.07,76,0,2.79,GL,1613257202
butaritari,3.0707,172.7902,27.36,77,83,4.09,KI,1613257203
riyadh,24.6877,46.7219,16.0,39,0,2.06,SA,1613257204
jamestown,42.097,-79.2353,-4.44,79,90,4.12,US,1613256973
longyearbyen,78.2186,15.6401,-14.0,56,40,4.12,SJ,1613257206
rubtsovsk,51.5,81.25,-15.53,91,11,4.03,RU,1613257209
pisco,-13.7,-76.2167,26.0,57,0,10.8,PE,1613256624
klaksvik,62.2266,-6.589,3.0,81,75,15.95,FO,1613256654
koyelga,54.6522,60.9049,-4.54,95,100,5.89,RU,1613257216
werda,-25.2667,23.2833,24.54,54,40,2.7,BW,1613257217
mehamn,71.0357,27.8492,-4.69,88,92,4.68,NO,1613257218
grenaa,56.4158,10.8783,-7.22,92,0,4.2,DK,1613257219
bethel,41.3712,-73.414,-2.78,43,100,2.62,US,1613257219
asau,46.4333,26.4,-6.67,43,70,3.0,RO,1613257220
garowe,8.4054,48.4845,16.45,88,31,3.68,SO,1613257221
nanortalik,60.1432,-45.2371,1.05,87,100,1.84,GL,1613257221
luderitz,-26.6481,15.1594,18.8,80,0,4.57,NA,1613257222
umm kaddadah,13.6017,26.6876,21.18,22,0,6.7,SD,1613257223
chokurdakh,70.6333,147.9167,-29.2,77,0,0.92,RU,1613257224
seoul,37.5683,126.9778,5.0,70,100,1.03,KR,1613256914
cabo san lucas,22.8909,-109.9124,26.0,56,1,4.12,MX,1613257147
caravelas,-17.7125,-39.2481,23.76,82,2,2.37,BR,1613256684
jiutai,44.1525,125.8328,-8.0,86,75,3.0,CN,1613257225
narsaq,60.9167,-46.05,9.0,25,90,8.75,GL,1613257226
manggar,-2.8833,108.2667,25.9,83,100,4.55,ID,1613257226
kahului,20.8947,-156.47,26.0,61,40,9.77,US,1613257227
dunedin,-45.8742,170.5036,19.44,54,100,3.58,NZ,1613257119
puerto baquerizo moreno,-0.9,-89.6,29.0,79,75,7.2,EC,1613257228
bayeux,-7.125,-34.9322,26.0,89,40,3.6,BR,1613257228
upernavik,72.7868,-56.1549,-15.52,92,92,0.47,GL,1613257228
aklavik,68.2191,-135.0107,-24.0,77,20,1.34,CA,1613256663
morondava,-20.2833,44.2833,25.86,76,100,5.96,MG,1613257229
kamensk-uralskiy,56.4185,61.9329,-2.47,96,100,7.21,RU,1613257230
leningradskiy,69.3833,178.4167,-24.15,86,100,1.45,RU,1613257230
biak,-0.9131,122.8766,25.7,76,97,1.55,ID,1613257231
kavaratti,10.5669,72.642,26.83,63,91,2.91,IN,1613257232
tiksi,71.6872,128.8694,-25.89,89,100,3.81,RU,1613257232
bukoba,-1.3317,31.8122,19.0,94,75,1.59,TZ,1613257233
dikson,73.5069,80.5464,-30.11,87,100,5.21,RU,1613257234
harnoli,32.2792,71.5539,13.99,38,0,1.82,PK,1613257234
varnavino,57.4035,45.0916,-14.42,95,100,0.84,RU,1613257235
leona vicario,20.9667,-87.1917,28.0,65,75,4.63,MX,1613257235
huilong,31.8111,121.655,12.22,91,81,0.89,CN,1613257236
gladstone,-23.85,151.25,28.0,61,90,4.63,AU,1613257237
yumen,40.2833,97.2,-3.35,90,97,4.85,CN,1613256676
ivanteyevka,55.9711,37.9208,-14.0,85,100,5.0,RU,1613257238
penzance,50.1186,-5.5371,8.0,93,90,11.32,GB,1613257238
yulara,-25.2406,130.9889,23.0,60,90,5.66,AU,1613257239
vikulovo,56.8167,70.6107,-7.7,97,100,2.56,RU,1613257239
berlevag,70.8578,29.0864,-3.44,85,99,5.69,NO,1613257240
bluff,-46.6,168.3333,19.44,64,100,3.13,NZ,1613257240
strezhevoy,60.7333,77.5889,-23.0,84,20,3.0,RU,1613256660
flinders,-34.5833,150.8552,22.78,88,90,4.12,AU,1613257241
kabinda,-6.1333,24.4833,20.27,91,100,1.47,CD,1613257242
asfi,32.2994,-9.2372,13.98,76,20,7.21,MA,1613256642
carnot,4.9409,15.8665,22.8,24,43,1.2,CF,1613257243
pevek,69.7008,170.3133,-25.17,88,87,1.09,RU,1613257243
lazaro cardenas,17.9583,-102.2,24.42,55,0,4.29,MX,1613257244
alofi,-19.0595,-169.9187,30.0,70,2,5.14,NU,1613257245
faanui,-16.4833,-151.75,27.67,68,2,2.74,PF,1613257245
talnakh,69.4865,88.3972,-31.69,84,100,0.6,RU,1613257246
sambava,-14.2667,50.1667,24.24,88,100,1.96,MG,1613256680
kytmanovo,53.4593,85.4479,-19.11,89,89,1.24,RU,1613257247
souillac,-20.5167,57.5167,25.0,94,75,2.06,MU,1613257247
maneadero,31.7167,-116.5667,15.56,79,91,0.89,MX,1613257248
fortuna,40.5982,-124.1573,12.22,87,90,4.12,US,1613257248
great yarmouth,52.6083,1.7305,1.67,60,99,7.2,GB,1613257248
vao,-22.6667,167.4833,26.3,76,0,3.09,NC,1613257249
ballina,-28.8667,153.5667,24.0,83,75,7.72,AU,1613257249
warragul,-38.1667,145.9333,15.56,92,2,0.45,AU,1613257250
druskininkai,54.0167,23.9667,-3.91,97,99,5.04,LT,1613257148
west wendover,40.7391,-114.0733,6.0,70,90,6.17,US,1613257251
san luis,-33.295,-66.3356,24.46,46,61,1.65,AR,1613257251
port hedland,-20.3167,118.5667,25.0,83,75,1.54,AU,1613257252
bubaque,11.2833,-15.8333,25.71,61,8,5.79,GW,1613257253
te anau,-45.4167,167.7167,13.15,83,100,0.35,NZ,1613257253
oksfjord,70.2396,22.3479,-5.0,92,99,1.54,NO,1613257254
del rio,29.3627,-100.8968,2.0,75,90,4.12,US,1613257254
huarmey,-10.0681,-78.1522,24.22,67,96,4.67,PE,1613257255
jalu,29.0331,21.5482,11.87,43,0,1.57,LY,1613257255
namibe,-15.1961,12.1522,23.69,73,74,3.09,AO,1613257256
bonavista,48.6499,-53.1147,-3.33,86,99,8.82,CA,1613257257
hualmay,-11.0964,-77.6139,24.2,66,83,5.12,PE,1613257257
kieta,-6.2167,155.6333,29.13,71,53,3.36,PG,1613257258
camacha,33.0833,-16.3333,13.0,88,20,2.61,PT,1613257258
beaverlodge,55.2166,-119.4361,-19.0,84,20,5.14,CA,1613257258
coihaique,-45.5752,-72.0662,16.0,51,75,4.63,CL,1613257259
kodinsk,58.6881,99.1844,-25.82,87,100,1.11,RU,1613256682
zhigansk,66.7697,123.3711,-25.84,88,98,5.86,RU,1613257260
thomasville,35.8826,-80.082,1.11,94,100,0.45,US,1613257260
folkestone,51.0833,1.1833,1.11,48,100,3.58,GB,1613257261
naze,28.3667,129.4833,20.0,88,75,8.75,JP,1613257261
wanxian,30.8039,108.3897,13.63,76,100,1.38,CN,1613257262
burriana,39.889,-0.085,11.67,67,55,1.1,ES,1613257262
manokwari,-0.8667,134.0833,26.65,78,100,2.84,ID,1613257263
porto novo,6.4965,2.6036,29.0,89,40,5.66,BJ,1613257263
cangzhou,38.3167,116.8667,3.64,86,100,6.32,CN,1613257263
roswell,34.0232,-84.3616,7.78,87,90,2.79,US,1613257257
tuatapere,-46.1333,167.6833,19.44,64,100,3.13,NZ,1613257264
clyde river,70.4692,-68.5914,-17.0,92,99,6.69,CA,1613257264
sola,-13.8833,167.55,27.19,83,100,8.12,VU,1613257265
walvis bay,-22.9575,14.5053,20.0,83,63,2.06,NA,1613257195
kasempa,-13.4584,25.8338,17.66,94,97,0.72,ZM,1613257266
aksarka,66.5606,67.7975,-34.74,85,32,0.17,RU,1613257266
aloleng,16.1307,119.7824,25.05,74,58,2.2,PH,1613257266
kunashak,55.7032,61.5498,-5.0,86,0,5.0,RU,1613257267
ahuimanu,21.4447,-157.8378,26.0,73,75,3.6,US,1613257267
taoudenni,22.6783,-3.9836,22.06,19,0,7.68,ML,1613257267
caconda,-13.7333,15.0667,13.8,74,9,2.32,AO,1613257268
torbay,47.6666,-52.7314,-2.78,86,90,7.2,CA,1613257268
orlik,52.5178,99.825,-23.36,81,100,1.33,RU,1613257268
dudinka,69.4058,86.1778,-33.87,85,92,1.37,RU,1613257268
kralupy nad vltavou,50.2411,14.3115,-8.0,92,20,2.06,CZ,1613257269
yaval,21.1667,75.7,21.52,27,6,1.77,IN,1613257269
victoria,22.2855,114.1577,17.78,85,15,2.97,HK,1613257108
puerto plata,19.7934,-70.6884,27.0,78,20,6.69,DO,1613257029
hofn,64.2539,-15.2082,3.18,95,100,8.24,IS,1613257270
juegang,32.3174,121.1855,11.67,86,45,2.37,CN,1613256733
shubarkuduk,49.1447,56.4872,0.37,97,100,4.28,KZ,1613257270
saint george,37.1041,-113.5841,9.0,66,40,2.06,US,1613257219
ambulu,-8.345,113.6058,24.12,88,100,1.15,ID,1613257271
abong mbang,3.9833,13.1833,21.88,68,20,1.31,CM,1613256678
tutoia,-2.7619,-42.2744,27.49,82,82,6.13,BR,1613257272
lubyany,56.0378,51.4,-2.0,80,90,14.0,RU,1613257272
banda aceh,5.5577,95.3222,26.0,79,45,2.47,ID,1613257272
broome,42.2506,-75.833,-2.22,36,90,1.54,US,1613257273
ewa beach,21.3156,-158.0072,26.0,65,90,4.63,US,1613256675
port hardy,50.6996,-127.4199,1.0,93,90,5.66,CA,1613257233
disna,55.568,28.1971,-9.94,96,100,3.87,BY,1613257028
sokyryany,48.4475,27.4168,-4.44,84,91,4.92,UA,1613257274
taltal,-25.4,-70.4833,20.39,68,21,1.31,CL,1613257268
srednekolymsk,67.45,153.6833,-29.89,84,36,3.81,RU,1613257275
kaitangata,-46.2817,169.8464,19.44,56,100,2.24,NZ,1613257275
mwense,-10.3845,28.698,19.11,93,79,1.11,ZM,1613257276
norman wells,65.282,-126.8329,-22.0,71,20,5.14,CA,1613257277
saldanha,-33.0117,17.9442,19.0,82,0,1.03,ZA,1613257277
la ronge,55.1001,-105.2842,-22.0,59,78,2.06,CA,1613257277
san patricio,28.017,-97.5169,1.0,93,90,6.69,US,1613257278
nishihara,26.1842,127.7558,20.0,83,40,1.54,JP,1613257278
batagay-alyta,67.8006,130.4114,-24.87,80,75,0.76,RU,1613257278
soe,-9.8607,124.284,20.38,95,88,1.33,ID,1613257279
sobolevo,54.4299,31.8996,-13.48,93,100,6.84,RU,1613257279
san felipe,10.3399,-68.7425,22.36,89,58,2.27,VE,1613257280
eyl,7.9803,49.8164,21.68,81,0,5.31,SO,1613256688
evensk,61.95,159.2333,-23.54,78,0,3.46,RU,1613257281
cayenne,4.9333,-52.3333,27.0,78,75,5.66,GF,1613257209
chicama,-7.8447,-79.1469,23.0,78,0,6.17,PE,1613257281
aykhal,66.0,111.5,-34.27,80,52,1.42,RU,1613257282
shasta lake,40.6804,-122.3708,15.56,40,7,3.58,US,1613257282
katsuura,35.1333,140.3,12.22,66,75,3.09,JP,1613257283
monschau,50.55,6.25,-4.44,63,20,4.63,DE,1613257283
muravlenko,63.7898,74.523,-34.81,85,0,3.1,RU,1613257283
dingle,10.9995,122.6711,24.38,90,100,2.96,PH,1613257284
toropets,56.4978,31.6353,-13.73,88,100,5.56,RU,1613257284
bilibino,68.0546,166.4372,-24.01,85,100,3.39,RU,1613257284
prattville,32.464,-86.4597,9.0,87,90,3.09,US,1613257284
alta floresta,-9.8756,-56.0861,23.26,90,97,1.32,BR,1613257285
bantou,26.2151,117.4893,14.75,79,77,0.85,CN,1613257285
kodiak,57.79,-152.4072,2.61,81,99,11.97,US,1613257285
barcelos,41.5388,-8.6151,12.22,94,75,2.57,PT,1613257224
monte escobedo,22.3,-103.5833,14.8,30,0,9.64,MX,1613257286
san policarpo,12.1791,125.5072,25.82,84,100,1.44,PH,1613257286
wasco,35.5941,-119.341,17.22,67,1,3.09,US,1613257287
tazovskiy,67.4667,78.7,-39.43,81,13,2.05,RU,1613257287
alem paraiba,-21.8878,-42.7044,23.48,84,100,0.5,BR,1613257288
mana,5.6592,-53.7767,25.42,84,90,6.65,GF,1613257288
lyngseidet,69.5763,20.2189,-5.0,86,75,1.03,NO,1613257289
hobyo,5.3505,48.5268,24.0,78,22,7.3,SO,1613257289
san andres,12.5847,-81.7006,29.0,70,20,3.6,CO,1613257104
tahoua,14.8888,5.2692,27.0,9,0,1.03,NE,1613257290
cachira,7.741,-73.0483,23.0,83,40,2.57,CO,1613257290
namwala,-15.7504,26.4384,19.41,89,99,2.63,ZM,1613257290
zheleznodorozhnyy,55.7503,38.0042,-13.0,85,75,4.0,RU,1613257291
sibiti,-3.6819,13.3499,21.26,100,100,1.24,CG,1613257291
faya,18.3851,42.4509,15.0,82,0,0.97,SA,1613257292
altay,47.8667,88.1167,-13.35,66,0,0.78,CN,1613257292
chiredzi,-21.05,31.6667,21.56,93,100,2.64,ZW,1613257293
iqaluit,63.7506,-68.5145,-21.0,65,40,3.6,CA,1613257270
san ramon,37.7799,-121.978,17.22,62,1,9.26,US,1613257266
pathein,16.7833,94.7333,18.01,88,31,2.08,MM,1613257294
ahipara,-35.1667,173.1667,22.17,77,84,3.76,NZ,1613257295
kedrovyy,56.1667,91.8167,-23.0,77,100,2.35,RU,1613257295
sydney,-33.8679,151.2073,21.11,78,40,8.23,AU,1613256597
sao miguel,-5.4667,-35.3667,28.0,78,20,4.12,BR,1613257296
kagoro,9.6,8.3833,20.97,21,0,2.62,NG,1613257296
karrapur,23.95,78.85,14.63,36,0,2.83,IN,1613257296
shagonar,51.5333,92.8,-21.56,86,99,0.13,RU,1613257296
iguape,-24.7081,-47.5553,24.67,91,89,4.06,BR,1613257274
qunduz,36.729,68.857,11.1,49,0,0.82,AF,1613257297
comodoro rivadavia,-45.8667,-67.5,28.0,23,0,6.17,AR,1613257298
ilulissat,69.2167,-51.1,-9.0,79,90,5.66,GL,1613257298
umri,26.5106,78.9367,13.98,43,0,0.35,IN,1613257037
baft,29.234,56.6057,5.17,58,0,0.78,IR,1613257299
yarmouth,41.7057,-70.2286,-0.56,69,90,4.63,US,1613257299
glens falls,43.3095,-73.644,-8.0,45,1,3.6,US,1613257169
verkhoyansk,67.5447,133.385,-29.7,85,25,0.47,RU,1613257300
eydhafushi,5.1033,73.0708,26.82,73,26,3.74,MV,1613257300
diego de almagro,-26.3667,-70.05,22.81,32,0,3.66,CL,1613257300
banapur,19.7833,85.1833,19.68,70,9,2.36,IN,1613257300
luanda,-8.8368,13.2343,26.0,83,20,2.06,AO,1613257301
benguela,-12.5763,13.4055,23.18,77,0,1.66,AO,1613257301
nizwa,22.9333,57.5333,14.26,64,1,0.46,OM,1613257301
inuvik,68.3499,-133.7218,-19.0,71,94,0.51,CA,1613257302
labrea,-7.2586,-64.7981,24.63,92,97,0.25,BR,1613257302
geraldton,-28.7667,114.6,22.0,88,90,3.6,AU,1613257302
la raya de santa maria,8.1667,-80.8167,28.45,65,99,2.07,PA,1613257303
los llanos de aridane,28.6585,-17.9182,18.0,68,90,4.12,ES,1613257303
kasongo-lunda,-6.4667,16.8167,21.84,92,100,0.47,CD,1613257303
qasigiannguit,68.8193,-51.1922,-9.0,79,90,5.66,GL,1613257304
teguise,29.0605,-13.564,17.0,77,20,4.63,ES,1613257304
ouadda,8.0777,22.4007,22.24,26,65,1.87,CF,1613257304
oranjemund,-28.55,16.4333,18.22,89,47,2.82,NA,1613257304
avera,33.194,-82.5271,5.0,95,90,3.09,US,1613257305
ossora,59.2353,163.0719,-23.68,82,0,2.79,RU,1613257305
ceyhan,37.0247,35.8175,13.89,100,20,3.6,TR,1613257305
sao joao da barra,-21.6403,-41.0511,25.1,84,100,6.35,BR,1613257306
orumiyeh,37.5527,45.0761,2.0,64,0,3.09,IR,1613257306
takoradi,4.8845,-1.7554,27.16,84,0,5.47,GH,1613257306
vardo,70.3705,31.1107,-2.07,92,100,9.29,NO,1613257307
buta,2.7858,24.73,23.25,41,5,0.63,CD,1613257307
maragogi,-9.0122,-35.2225,26.04,80,38,4.46,BR,1613256640
kaifeng,34.7911,114.3483,7.0,93,90,2.0,CN,1613257308
providencia,28.7167,-111.5833,21.67,47,65,4.47,MX,1613257308
marsabit,2.3284,37.9899,21.84,54,95,3.13,KE,1613257308
hambantota,6.1241,81.1185,24.39,87,80,2.28,LK,1613257309
marawi,7.9986,124.2928,24.44,93,68,1.79,PH,1613257309
khandyga,62.6667,135.6,-25.26,85,18,0.05,RU,1613257309
zherdevka,51.8486,41.4606,-13.01,92,99,3.29,RU,1613257310
ceres,37.5949,-120.9577,17.0,42,40,7.2,US,1613257310
toamasina,-18.1667,49.3833,24.0,94,75,2.06,MG,1613257310
namatanai,-3.6667,152.4333,28.28,76,100,1.68,PG,1613257310
duncan,34.5023,-97.9578,-5.0,50,1,6.69,US,1613257244
codrington,-38.2667,141.9667,15.76,68,100,3.95,AU,1613257311
skjervoy,70.0311,20.9714,-1.98,92,100,8.83,NO,1613257311
nueve de julio,-35.4444,-60.8831,23.33,77,76,3.82,AR,1613257312
kandrian,-6.2167,149.55,27.41,79,100,4.09,PG,1613257312
acapulco,16.8634,-99.8901,28.0,61,20,3.09,MX,1613257312
darab,28.7519,54.5444,11.05,38,0,0.57,IR,1613257313
diffa,13.3154,12.6113,23.5,19,0,3.39,NE,1613257313
zeya,53.75,127.2667,-24.99,85,82,1.94,RU,1613257313
funtua,11.5233,7.3081,21.26,20,0,3.56,NG,1613257314
douentza,14.9951,-2.9517,24.1,17,0,2.03,ML,1613257314
cidreira,-30.1811,-50.2056,23.85,82,100,2.87,BR,1613257314
chervishevo,56.9464,65.4278,-6.0,93,0,3.0,RU,1613257315
bhainsa,26.9548,76.9012,13.53,43,0,0.41,IN,1613257315
gunzenhausen,49.1,10.75,-10.0,100,1,3.6,DE,1613257315
aitape,-3.1374,142.3475,26.35,76,100,1.5,PG,1613257316
baykit,61.67,96.37,-28.32,83,100,0.8,RU,1613257316
tilichiki,60.4667,166.1,-27.12,87,80,4.59,RU,1613257316
quatre cocos,-20.2078,57.7625,25.0,94,75,2.06,MU,1613257316
kijang,35.2442,129.2139,6.0,81,90,2.06,KR,1613257317
eureka,40.8021,-124.1637,12.22,74,40,0.45,US,1613257317
araouane,18.9048,-3.5265,24.55,15,0,4.77,ML,1613257317
kouango,4.9934,19.9619,24.22,24,95,1.24,CF,1613257318
saryozek,44.3583,77.9753,-0.8,95,100,0.82,KZ,1613257318
moranbah,-22.0016,148.0466,28.14,57,100,7.04,AU,1613257318
anadyr,64.75,177.4833,-7.0,68,90,4.0,RU,1613257319
kudahuvadhoo,2.6708,72.8944,27.41,72,14,4.27,MV,1613257319
coahuayana,18.7333,-103.6833,23.0,53,40,3.03,MX,1613257320
ondangwa,-17.9167,15.95,23.0,78,98,2.06,NA,1613257320
northam,51.0333,-4.2167,4.44,87,95,7.15,GB,1613257320
salalah,17.0151,54.0924,21.0,56,0,1.03,OM,1613257321
marystown,47.1666,-55.1483,-2.94,91,90,7.39,CA,1613257321
atbasar,51.8,68.3333,-6.56,97,99,3.11,KZ,1613257321
ciudad bolivar,8.1222,-63.5497,29.84,52,85,7.59,VE,1613257322
marzuq,14.4,46.4667,14.34,60,0,0.88,YE,1613257322
mnogovershinnyy,53.9353,139.9242,-13.5,97,100,0.98,RU,1613257322
igualada,41.581,1.6172,10.56,88,96,2.24,ES,1613257323
bestobe,52.4994,73.0975,-4.58,97,98,6.53,KZ,1613257323
petatlan,17.5167,-101.2667,29.0,54,1,2.57,MX,1613257323
tancanhuitz,21.6,-98.9667,16.34,74,82,3.73,MX,1613257323
isiro,2.7739,27.616,21.74,35,75,0.79,CD,1613257324
marienburg,54.0359,19.0266,-3.33,79,4,2.24,PL,1613257324
